id,tournament_id,stat_category,player_name,stat_value
200,24,"Most Runs","Matthew Hayden",265
201,24,"Most Wickets","Shahid Afridi",12
202,24,"Best Batting Average","Matthew Hayden",88.33
203,24,"Best Bowling Average","Shahid Afridi",13.50
204,24,"Most Hundreds",None,0
205,24,"Most Fifties","Matthew Hayden",2
206,24,"Most Sixes","Shahid Afridi",23
207,24,"Most Fours","Matthew Hayden",33
208,25,"Most Runs","Shane Watson",249
209,25,"Most Wickets","Shahid Afridi",12
210,25,"Best Batting Average","Kumar Sangakkara",62.50
211,25,"Best Bowling Average","Shahid Afridi",13.08
212,25,"Most Hundreds",None,0
213,25,"Most Fifties","Shane Watson",3
214,25,"Most Sixes","Shahid Afridi",23
215,25,"Most Fours","Shane Watson",27
216,26,"Most Runs","Mahela Jayawardene",302
217,26,"Most Wickets","Dirk Nannes",14
218,26,"Best Batting Average","Kevin Pietersen",62.00
219,26,"Best Bowling Average","Dirk Nannes",13.07
220,26,"Most Hundreds",None,0
221,26,"Most Fifties","Mahela Jayawardene",3
222,26,"Most Sixes","Shahid Afridi",23
223,26,"Most Fours","Shane Harwood",28
224,27,"Most Runs","Shane Watson",249
225,27,"Most Wickets","Ajantha Mendis",15
226,27,"Best Batting Average","Shane Watson",62.25
227,27,"Best Bowling Average","Ajantha Mendis",6.33
228,27,"Most Hundreds",None,0
229,27,"Most Fifties","Shane Watson",3
230,27,"Most Sixes","Shane Watson",23
231,27,"Most Fours","Shane Watson",27
232,28,"Most Runs","Virat Kohli",319
233,28,"Most Wickets","Imran Tahir",12
234,28,"Best Batting Average","Virat Kohli",106.33
235,28,"Best Bowling Average","Imran Tahir",10.92
236,28,"Most Hundreds",None,0
237,28,"Most Fifties","Virat Kohli",4
238,28,"Most Sixes","Stephan Myburgh",13
239,28,"Most Fours","Stephan Myburgh",26
240,29,"Most Runs","Tamim Iqbal",295
241,29,"Most Wickets","Mohammad Nabi",12
242,29,"Best Batting Average","Tamim Iqbal",73.75
243,29,"Best Bowling Average","Mohammad Nabi",13.66
244,29,"Most Fifties","Tamim Iqbal",3
245,29,"Most Sixes","Tamim Iqbal",14
246,29,"Most Fours","Virat Kohli",29
247,30,"Most Runs","Babar Azam",303
248,30,"Most Wickets","Wanindu Hasaranga",16
249,30,"Best Batting Average","Mohammad Rizwan",70.25
250,30,"Best Bowling Average","Wanindu Hasaranga",9.75
251,30,"Most Fifties","Babar Azam",4
252,30,"Most Sixes","Jos Buttler",13
253,30,"Most Fours","David Warner",32
254,31,"Most Runs","Virat Kohli",296
255,31,"Most Wickets","Wanindu Hasaranga",15
256,31,"Best Batting Average","Virat Kohli",98.66
257,31,"Best Bowling Average","Sam Curran",11.38
258,31,"Most Fifties","Virat Kohli",4
259,31,"Most Sixes","Sikandar Raza",11
260,31,"Most Fours","Suryakumar Yadav",26
261,32,"Most Runs","Rohit Sharma",257
262,32,"Most Wickets","Arshdeep Singh",17
263,32,"Best Batting Average","RD Berrington ",102
264,32,"Best Bowling Average","Rachin Ravindra",4.50
265,32,"Most Fifties","Rohit Sharma",3
266,32,"Most Sixes","Rovman Powell",18
267,32,"Most Fours","Travis Head",31
268,33,"Most Runs","Philo Wallace",221
269,33,"Most Wickets","Jacques Kallis",8
270,33,"Best Batting Average","Alistair Campbell",100.00
271,33,"Best Bowling Average","Jacques Kallis",10.70
272,33,"Most Hundreds","Philo Wallace",1
273,33,"Most Fifties","WJ Cronje",2
274,33,"Most Sixes","Philo Wallace",6
275,33,"Most Fours","Philo Wallace",29
276,34,"Most Runs","Chris Cairns",102*
277,34,"Most Wickets","Venkatesh Prasad",3
278,34,"Best Batting Average","Chris Cairns",102.00
279,34,"Best Bowling Average","Venkatesh Prasad",9.00
280,34,"Most Hundreds","Chris Cairns",1
281,34,"Most Fifties","Chris Harris",1
282,34,"Most Sixes","Chris Cairns",2
283,34,"Most Fours","Chris Cairns",8
284,35,"Most Runs","Chris Gayle",474
285,35,"Most Wickets","Shane Harwood",10
286,35,"Best Batting Average","Shivnarine Chanderpaul",92.00
287,35,"Best Bowling Average","Shane Harwood",14.00
288,35,"Most Hundreds","Shivnarine Chanderpaul",1
289,35,"Most Fifties","Chris Gayle",2
290,35,"Most Sixes","Chris Gayle",9
291,35,"Most Fours","Chris Gayle",33
292,36,"Most Runs","Ricky Ponting",288
293,36,"Most Wickets","Wayne Parnell",11
294,36,"Best Batting Average","Ricky Ponting",72.00
295,36,"Best Bowling Average","Wayne Parnell",5.18
296,36,"Most Hundreds","Shane Watson",1
297,36,"Most Fifties","Shane Watson",2
298,36,"Most Sixes","Shane Watson",6
299,36,"Most Fours","Shane Watson",24
300,37,"Most Runs","Shikhar Dhawan",363
301,37,"Most Wickets","Ravindra Jadeja",12
302,37,"Best Batting Average","Shikhar Dhawan",90.75
303,37,"Best Bowling Average","Ravindra Jadeja",12.83
304,37,"Most Hundreds","Shikhar Dhawan",2
305,37,"Most Fifties","Shikhar Dhawan",1
306,37,"Most Sixes","Shikhar Dhawan",4
307,37,"Most Fours","Shikhar Dhawan",35
308,38,"Most Runs","Shikhar Dhawan",338
309,38,"Most Wickets","Hasan Ali",13
310,38,"Best Batting Average","Shikhar Dhawan",67.60
311,38,"Best Bowling Average","Hasan Ali",13.00
312,38,"Most Hundreds","Shikhar Dhawan",1
313,38,"Most Fifties","Shikhar Dhawan",2
314,38,"Most Sixes","Shikhar Dhawan",4
315,38,"Most Fours","Shikhar Dhawan",35
